analysis	regulator	fc	type	state	zscore	Notes	bias	bias_zscore	pvalue	target
ndr_vs_wt_all - 2020-11-20 05:39 PM	TAF10	0.128	transcription regulator	0	0	0	0	0	0.00701	GHR, IGF1, PRLR
ndr_vs_wt_all - 2020-11-20 05:39 PM	cytokine	0	group	0	0	0	0	0	0.00701	BCL3, BMF, CD86
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAF	-0.098	transcription regulator	Activated	2.157	bias	0.258	1.433	0.00707	CRYBB3, CYP51A1, FDFT1, HMGCR, IDI1, LSS, NT5E, PMVK, SQLE
ndr_vs_wt_all - 2020-11-20 05:39 PM	SOX4	0.03	transcription regulator	0	1.107	0	0.101	0.693	0.0072	BLK, CD53, FCER1G, GLDC, IGF1, LRRN3, Ly6a (includes others), LYZ, Mt1, P2RX3, RARRES1, SNX10, SPI1, TES, TMEM176B, TMEM98, TRMT9B
ndr_vs_wt_all - 2020-11-20 05:39 PM	SPP1	-0.142	cytokine	0	0.711	0	0.078	0.465	0.00745	Ccl2, CCR2, HMGCR, HOMER2, IGF1, IL1B, INSIG1, LIF, S100A6, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	GATA6	0.017	transcription regulator	0	-0.585	0	0.03	-0.699	0.00775	ASPA, ATP6V0A1, BCAM, CD5L, CYP17A1, GATA1, GPI, HSD3B1, IL1B, LDHB, MARCO, NAPSA, PGM2, Saa3, SLPI, WNT2
ndr_vs_wt_all - 2020-11-20 05:39 PM	CYB5R4	0.368	enzyme	0	-1.577	0	-0.232	-1.015	0.00804	ATF3, FASN, GCLC, HMOX1, Mt1, Scd2
ndr_vs_wt_all - 2020-11-20 05:39 PM	TLR5	-0.099	transmembrane receptor	Activated	2.197	0	0.228	1.697	0.00804	Ccl2, CCL20, CD86, CXCL2, CXCL3, ICAM1
ndr_vs_wt_all - 2020-11-20 05:39 PM	WLS	0.032	other	Inhibited	-2.449	0	-0.026	-2.386	0.00804	Ccl2, CCL20, Ccl6, CXCL2, CXCR2, IL36G
ndr_vs_wt_all - 2020-11-20 05:39 PM	PRKCB	-0.041	kinase	0	0.481	0	0.119	0.173	0.00816	CLCN7, EGR1, FASN, FOS, MMP2, NOS2, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	SLC9A3	0	ion channel	0	0	0	0	0	0.00816	ELANE, Igtp, Mt1, NOS2, Saa3, UGT2B28, UPP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	Trp53cor1	0.088	other	0	0.436	0	0.179	-0.032	0.00816	BAX, Ccl2, FOXA2, IL1B, NPTX1, PERP, SSTR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	AMPK	0	complex	0	-0.811	0	0.046	-0.937	0.00844	Ccl2, CLDN1, CXCL10, EGR1, FOXO3, LDHB, NOS2, SLC2A4, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	LYN	0.052	kinase	0	-0.447	0	-0.093	-0.156	0.00856	C5AR1, Ccl2, CCL3L3, Ccl7, CD86, EGR1, GATA1, IL1B, KLF1, STAT5A, STAT5B, STAT6
ndr_vs_wt_all - 2020-11-20 05:39 PM	ADRM1	0.056	other	0	0	0	0	0	0.0087	NFKBIA, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	ATP1A1	0.379	transporter	0	0	0	0	0	0.0087	HMGCR, LDLR
ndr_vs_wt_all - 2020-11-20 05:39 PM	CSTB	0.091	peptidase	0	0	0	0	0	0.0087	CASP4, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	DAB1	2.735	other	0	0	0	0	0	0.0087	ABCA1, FABP7
ndr_vs_wt_all - 2020-11-20 05:39 PM	DEK	0.021	transcription regulator	0	0	0	0	0	0.0087	Ccl2, NFKBIA
ndr_vs_wt_all - 2020-11-20 05:39 PM	EMD	0.032	other	0	0	0	0	0	0.0087	EGR1, IER3
ndr_vs_wt_all - 2020-11-20 05:39 PM	GNPAT	-0.08	enzyme	0	0	0	0	0	0.0087	Ccl2, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	Gpcr	0	group	0	0	0	0	0	0.0087	FOS, JUN
ndr_vs_wt_all - 2020-11-20 05:39 PM	HSPA1A/HSPA1B	0.105	enzyme	0	0	0	0	0	0.0087	FOS, Hspa1b
ndr_vs_wt_all - 2020-11-20 05:39 PM	Hspa1b	1.093	other	0	0	0	0	0	0.0087	FOS, Hspa1b
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL17RC	0.125	transmembrane receptor	0	0	0	0	0	0.0087	PLET1, STEAP4
ndr_vs_wt_all - 2020-11-20 05:39 PM	MDK	-0.516	growth factor	0	0	0	0	0	0.0087	Ccl2, CXCL3
ndr_vs_wt_all - 2020-11-20 05:39 PM	MMUT	-0.505	enzyme	0	0	0	0	0	0.0087	LCN2, MMUT
ndr_vs_wt_all - 2020-11-20 05:39 PM	MSK1/2	0	group	0	0	0	0	0	0.0087	DUSP1, FOS
ndr_vs_wt_all - 2020-11-20 05:39 PM	NAGLU	0.01	enzyme	0	0	0	0	0	0.0087	LYZ, MAPT
ndr_vs_wt_all - 2020-11-20 05:39 PM	PIAS2	-0.044	transcription regulator	0	0	0	0	0	0.0087	Cdkn1c, SLC11A1
ndr_vs_wt_all - 2020-11-20 05:39 PM	POLR2A	0.09	enzyme	0	0	0	0	0	0.0087	EGR2, FOS
ndr_vs_wt_all - 2020-11-20 05:39 PM	RANBP10	-0.099	other	0	0	0	0	0	0.0087	CD63, SELP
ndr_vs_wt_all - 2020-11-20 05:39 PM	RNF43	-0.413	enzyme	0	0	0	0	0	0.0087	CYP2E1, GLUL
ndr_vs_wt_all - 2020-11-20 05:39 PM	Rps15a-ps4	0	other	0	0	0	0	0	0.0087	NFKB2, NFKBIA
ndr_vs_wt_all - 2020-11-20 05:39 PM	TIGAR	0.025	enzyme	0	0	0	0	0	0.0087	Ccl2, TNFAIP3
ndr_vs_wt_all - 2020-11-20 05:39 PM	VPS33B	-0.025	transporter	0	0	0	0	0	0.0087	SELP, VWF
ndr_vs_wt_all - 2020-11-20 05:39 PM	XPO1	0.002	transporter	0	0	0	0	0	0.0087	ICAM1, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	ERK	0	group	Activated	2.355	0	0.107	2.02	0.00874	Ccl2, Ccl7, CCR1, DNMT3B, EGR1, EGR2, FABP4, HMOX1, IL1B, NFKBIZ
ndr_vs_wt_all - 2020-11-20 05:39 PM	POU2F1	-0.183	transcription regulator	0	0	0	0	0	0.00874	ACSL1, Aldh1a7, DECR1, FRRS1, GPX3, GSTM5, ICAM1, LY6E, PRKAA2, SERPING1, TNFRSF10A
ndr_vs_wt_all - 2020-11-20 05:39 PM	Histone h3	0	group	0	0	0	0	0	0.00878	ABCD2, ACOT4, ADRA1B, AFP, AKAP12, Ccl2, CDKN2B, DUSP10, FABP4, FOS, FOXA2, GATA1, GHR, Ifi27l2a/Ifi27l2b, IGFBP2, IGFBP3, IL1B, IL6R, MGLL, MKX, NOS2, RAB38, RARB, RELN, S100A8, S100A9, SELL, SOCS3, SREBF1, STXBP2, TNFAIP3, UPP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	EBF1	-0.144	transcription regulator	0	-0.145	0	0.194	-0.86	0.00903	ACACB, CBLC, CD79B, CEBPB, CXCL10, CXCL12, FASN, GFI1B, Ly6a (includes others), PCK2, PFKP, PIK3R1, PPP1R3C, PRKAA2, PRKAG2, PRKAR2B, SLC2A4, SOCS3, SREBF1, TLR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	ERN1	-0.047	kinase	0	1.383	0	0.149	0.831	0.00928	ATF3, CEBPB, CEBPD, CYP1A2, CYP2E1, DGAT2, FITM2, FKBP11, GP1BB, IL1B, JUN, MVD, PDIA5, SEL1L, SLC20A1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CAMK4	-0.094	kinase	Activated	2.219	0	0.155	1.875	0.0095	CSRP1, FOS, FOSB, JUN, JUNB
ndr_vs_wt_all - 2020-11-20 05:39 PM	GNA12	-0.468	enzyme	0	-1.342	0	-0.052	-1.226	0.0095	G6PD, GCLC, GSR, GSTP1, TXNRD1
ndr_vs_wt_all - 2020-11-20 05:39 PM	S1PR2	0.01	g-protein coupled receptor	Activated	2.163	0	0.189	1.753	0.0095	CAMP, Ccl2, ICAM1, SELE, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	MECP2	-0.058	transcription regulator	Activated	2.211	0	0.037	2.13	0.00977	CAPG, CDKN2B, ESR1, FKBP5, JUNB, LMNA, MBP, NR4A1, RELN, SCN2A, SLC2A3, YWHAZ
ndr_vs_wt_all - 2020-11-20 05:39 PM	CDKN2A	-0.098	transcription regulator	Activated	2.187	0	0.146	1.636	0.00988	BAX, Ccl2, CCL3L3, Ccl6, Ccl7, CDKN2B, CEBPB, CEBPD, CX3CL1, CXCL10, CXCR2, EGR1, EGR2, IGFBP5, IL1B, IL1R2, MMP2, TNFRSF1A
ndr_vs_wt_all - 2020-11-20 05:39 PM	ARNT	0.038	transcription regulator	0	1.614	0	0.166	1.095	0.00993	ADM, ALDOA, ALDOC, CLDN1, G6PD, Gk, GPI, PCK2, PGM2, S1PR1, SELL, SLC2A3, TPI1, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	ANKRD17	-0.012	other	Activated	2	0	0.207	1.587	0.01	Ccl7, HBEGF, HDC, SOCS3
ndr_vs_wt_all - 2020-11-20 05:39 PM	BCO2	-0.397	enzyme	0	0	0	0	0	0.01	DECR1, PRKAA2, RNF186, SPON2
ndr_vs_wt_all - 2020-11-20 05:39 PM	BRD2	-0.011	kinase	Activated	2	bias	0.258	1.484	0.01	Ccl2, IL1B, NFE2, SLC4A1
ndr_vs_wt_all - 2020-11-20 05:39 PM	F630028O10Rik	1.043	other	0	-1.982	0	-0.207	-1.573	0.01	Ccl2, CXCL2, IL1B, ITGAM
ndr_vs_wt_all - 2020-11-20 05:39 PM	FRS2	-0.038	other	0	0	0	0.172	-0.344	0.01	ITGA6, KRT14, Ly6a (includes others), PROM1
ndr_vs_wt_all - 2020-11-20 05:39 PM	OSBPL8	-0.139	transporter	0	1	0	0.052	0.897	0.01	ABCA1, HMGCR, SREBF1, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	PARK7	-0.048	enzyme	0	-1.982	0	-0.207	-1.573	0.01	BAX, Ccl2, CCL3L3, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	SLC10A1	0.01	transporter	0	1.103	0	-0.052	1.203	0.01	ABCC3, Slco1a4, SULT2A1, Sult2a2
ndr_vs_wt_all - 2020-11-20 05:39 PM	mir-135	-0.114	microrna	0	-1	bias	-0.258	-0.484	0.01	Ccl7, CXCL12, IL1B, KLF4
ndr_vs_wt_all - 2020-11-20 05:39 PM	HSD11B1	-1.603	enzyme	0	-0.152	0	-0.086	0.018	0.0101	ANGPTL4, CPT1B, FASN, PDK4, PNPLA2, PPARA, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PLK4	0.049	kinase	0	-0.378	0	0.201	-0.909	0.0101	Ccl7, CXCL10, IL15RA, IL1B, MARCO, PLAT, RGS1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PTGS1	0.171	enzyme	0	1.969	0	0.046	1.86	0.0101	Ccl2, CYBB, FABP4, IL1B, NCF1, NOS2, TNFRSF9
ndr_vs_wt_all - 2020-11-20 05:39 PM	DIO3	-0.191	enzyme	0	-1.651	0	-0.035	-1.475	0.0102	ABCD2, ADAMTS16, ALOX5, ALOX5AP, BIK, Btnl10, CIDEA, DCT, FOXQ1, FST, GATA1, GREB1, HLA-A, HSD3B1, IER5, ITGAM, ITGB2, LAPTM5, LPAR3, LRP8, MAMDC2, NFAM1, PLS1, PRLR, SEL1L3, SNED1
ndr_vs_wt_all - 2020-11-20 05:39 PM	GPX1	-0.024	enzyme	0	-0.391	0	-0.221	0.099	0.0104	CAT, Ccl2, CYBB, GPX3, GPX4, ICAM1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PRKCE	-0.118	kinase	Activated	2.433	bias	0.258	1.805	0.0104	CEBPB, EGFR, FCGR1A, IL1B, JUNB, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	DNASE2	0	enzyme	0	-1.664	bias	-0.258	-1.036	0.0113	ACKR4, CP, CXCL10, CXCL2, GPNMB, Ly6a (includes others), Ms4a4c (includes others), RSAD2
ndr_vs_wt_all - 2020-11-20 05:39 PM	PRKAG3	0	other	0	0	0	0	0	0.0116	ANKRD1, Cdkn1c, FTL, GOLM1, IGFBP5, PHLDA3, Scd2, SLC2A3, SLC40A1, SLC7A2, TMCC2
ndr_vs_wt_all - 2020-11-20 05:39 PM	TCF12	-0.075	transcription regulator	0	-1.508	0	-0.079	-1.244	0.0116	BLNK, CCR2, CXCR6, IL18R1, IL18RAP, JUN, KLF6, LILRB4, Ly6a (includes others), S1PR1, ZBTB16
ndr_vs_wt_all - 2020-11-20 05:39 PM	RTN4	-0.311	other	0	0.707	0	0.052	0.561	0.0118	Ank2, ARHGDIA, DPYSL5, FGF1, GFAP, MAPRE3, MBP, RAB3D, Tpm1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PF4	0.426	cytokine	0	0.8	0	0.086	0.559	0.0118	BIRC3, FOXA2, ICAM1, IL1B, KLF4, NFKB2, NFKBIA, NFKBIZ, RSAD2, TNFAIP3
ndr_vs_wt_all - 2020-11-20 05:39 PM	SOCS1	-0.143	other	Inhibited	-2.613	0	-0.222	-1.827	0.0124	ACOD1, BAX, CD86, CXCL10, DUSP1, FKBP5, GBP6, IFI16, IL1B, NOS2, NOXA1, RSAD2, SELE, SOCS3
ndr_vs_wt_all - 2020-11-20 05:39 PM	ADORA2B	0.558	g-protein coupled receptor	0	0.896	0	0.155	0.519	0.0125	Ccl2, CXCL2, CXCL3, IL1B, KLF4, MMP12, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	SOST	0	other	Activated	2.005	0	0.092	1.765	0.0125	Ccl2, CCL3L3, FABP4, FASN, IL1B, PPARA, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	FKBP4	-0.137	enzyme	0	1.067	0	0.111	0.848	0.0128	FASN, LIF, NOS2, PDK4, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	GLIS2	0.436	transcription regulator	0	-1.342	bias	-0.258	-0.764	0.0128	Ccl2, CXCL10, SERPINE1, SNAI2, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	LRBA	-0.119	other	0	-1.109	0	-0.194	-0.68	0.0128	Ccl2, CCL3L3, CXCL10, FOXO3, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAP2K1/2	0	group	0	1.172	0	0.161	0.815	0.0128	ARG2, Ccl2, CCL3L3, CXCL3, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAPKAPK3	0.96	kinase	0	1.342	0	0.065	1.197	0.0128	CCL3L3, CXCL2, CXCL3, HSPB8, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	NPM1	0.025	transcription regulator	0	0	0	0	0	0.0128	Ccl2, CXCL2, CXCL3, LTF, MMP8
ndr_vs_wt_all - 2020-11-20 05:39 PM	RBP4	-0.009	other	0	0.563	0	0.226	0.059	0.0128	Ccl2, IL1B, NLRP3, RARB, SLC2A4
ndr_vs_wt_all - 2020-11-20 05:39 PM	UCP2	0.291	transporter	0	-1.966	0	-0.215	-1.543	0.0128	FASN, HDC, IL1B, LTB4R, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	VEGFB	0.022	growth factor	0	1.172	0	0.226	0.672	0.0128	Acot1, ACOT2, ATF3, CIDEA, PDK4
ndr_vs_wt_all - 2020-11-20 05:39 PM	ABCD2	-0.461	transporter	0	0	0	0	0	0.0131	ALOX5, IL1B, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	AQP11	-0.338	transporter	0	0	0	0	0	0.0131	EGFR, MMP12, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	BTC	0.077	growth factor	0	0	0	0	0	0.0131	CCL20, FASN, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CERS2	-0.141	transcription regulator	0	0	0	0	0	0.0131	Gstm3, MBP, SMPD3
ndr_vs_wt_all - 2020-11-20 05:39 PM	CNTF	0.002	cytokine	0	0	0	0	0	0.0131	GFAP, LIFR, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	CYP3A	0	group	0	0	0	0	0	0.0131	HMGCS1, SQLE, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	ERCC1	0.36	enzyme	0	0	0	0	0	0.0131	GHR, IGF1, PRLR
ndr_vs_wt_all - 2020-11-20 05:39 PM	FSTL1	0.015	other	0	0	0	0	0	0.0131	Ccl2, IL1B, NLRP3
ndr_vs_wt_all - 2020-11-20 05:39 PM	GPAT3	-0.459	enzyme	0	0	0	0	0	0.0131	DGAT2, SLC2A4, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	HSPB1	0.305	other	0	0	0	0	0	0.0131	Ccl2, CXCL2, CXCL3
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL1R2	2.485	transmembrane receptor	0	0	0	0	0	0.0131	CXCL2, CXCL3, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	LBP	0.906	transporter	0	0	0	0	0	0.0131	CXCL3, IL1RN, LBP
ndr_vs_wt_all - 2020-11-20 05:39 PM	NEFL	0	other	0	0	0	0	0	0.0131	Ccl2, Ccl6, PRPH
ndr_vs_wt_all - 2020-11-20 05:39 PM	PILRA	0.23	other	0	0	0	0	0	0.0131	Ccl2, CXCL2, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	SCGB3A2	0	other	0	0	0	0	0	0.0131	CTSD, MMP12, MMP2
ndr_vs_wt_all - 2020-11-20 05:39 PM	SERPIND1	-0.505	other	0	0	0	0	0	0.0131	Ccl2, EGR1, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	TLR8	0.076	transmembrane receptor	0	0	0	0	0	0.0131	Ccl2, CXCL2, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	TRPA1	0	transporter	0	0	0	0	0	0.0131	CXCL3, IL1B, NGF
ndr_vs_wt_all - 2020-11-20 05:39 PM	TYR	0	enzyme	0	0	0	0	0	0.0131	CCR1, CCR2, CXCR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	VIPR1	-0.763	g-protein coupled receptor	0	0	0	0	0	0.0131	CD86, CXCL10, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	mir-873	0	microrna	0	0	0	0	0	0.0131	Ccl2, CXCL3, TNFAIP3
ndr_vs_wt_all - 2020-11-20 05:39 PM	Mt2	0.515	other	Inhibited	-2.219	bias	-0.258	-1.646	0.0132	ATF3, FOS, GSTP1, IL1B, JUN, SERPINE1
ndr_vs_wt_all - 2020-11-20 05:39 PM	BACH2	-1.027	transcription regulator	0	-0.149	0	-0.063	0.049	0.0132	AHR, BATF, GATA1, HMOX1, JUN, JUNB, RARB, RORC, S100A8, S100A9, STAT4
ndr_vs_wt_all - 2020-11-20 05:39 PM	VEGFA	-0.183	growth factor	Activated	2.183	0	0.214	1.553	0.0132	ADAM15, BATF, CCL3L3, CD68, CXCL2, FOS, HAVCR2, NR4A1, Stfa1 (includes others), TIMP1, TNFRSF9
ndr_vs_wt_all - 2020-11-20 05:39 PM	AIRE	0	transcription regulator	0	-0.137	0	0.086	-0.433	0.0133	AKR1B10, Clec2d (includes others), CXCL10, CYP1A2, FABP2, GBP6, IL18BP, LTF, Mup1 (includes others), Ngp, S100A9, TFF3, UPP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PAK2	0.038	kinase	0	-1.414	0	-0.066	-1.226	0.0135	DUSP1, HBEGF, IFI16, IGF1, IGFBP3, IGFBP5, PLAUR, S100A6
ndr_vs_wt_all - 2020-11-20 05:39 PM	PPARGC1B	-0.084	transcription regulator	Activated	2.621	0	0.213	2.064	0.0135	ACACB, CIDEA, COX7A1, CPT1B, ESRRG, FASN, HMGCR, PDK4
ndr_vs_wt_all - 2020-11-20 05:39 PM	SOCS3	2.102	phosphatase	0	-0.697	0	-0.178	-0.239	0.0135	Ccl2, CD86, CXCL10, FOS, IL1B, NOS2, SOCS3, TFF3
ndr_vs_wt_all - 2020-11-20 05:39 PM	IFN Beta	0	group	0	0	0	-0.03	0.085	0.0137	AREG, Ccl2, CD86, CEBPD, CXCL10, ISG20, OASL, RSAD2, SERPINE1, STAT4
ndr_vs_wt_all - 2020-11-20 05:39 PM	FOXA2	-0.51	transcription regulator	0	0.376	0	0.013	0.325	0.0139	Akr1c14, ALOX5, CA3, CHI3L1, CLDN4, CYB561, DCT, FOXA2, FOXD4, HADH, HMGCS2, ITGA3, LYZ, Mt1, NFKB2, PIM1, PNLIPRP1, PON1, SAA1, Saa3, SOD3, TMPRSS2, TTR
ndr_vs_wt_all - 2020-11-20 05:39 PM	TP63	0	transcription regulator	0	0.59	0	-0.072	0.864	0.0142	AREG, CAVIN2, CTSD, FOXA2, FOXO3, KRT14, NT5E, PERP, PRKAG2, SLC2A3, SLC41A2, SNAI2, ULK2, VIL1, WFDC2
ndr_vs_wt_all - 2020-11-20 05:39 PM	CSHL1	-0.164	growth factor	0	0.41	0	0.155	0.121	0.0146	CYP2B6, Cyp2d9 (includes others), FOS, IGF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CTSB	0.031	peptidase	0	1.953	0	0.194	1.575	0.0146	CXCL2, CXCL3, IL1B, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	HIRA	-0.003	transcription regulator	Activated	2	bias	0.258	1.484	0.0146	Ccl2, CXCL2, GATA1, KLF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PDE3B	-0.144	enzyme	0	0	0	0	0	0.0146	FASN, SERPINE1, SOCS3, TRIB3
ndr_vs_wt_all - 2020-11-20 05:39 PM	PKM	0.819	kinase	0	0.809	0	0.07	0.67	0.0146	ABCA1, FASN, IL1B, PKM
ndr_vs_wt_all - 2020-11-20 05:39 PM	PRKAA	0	group	0	-1.987	0	-0.117	-1.754	0.0146	Ccl2, CXCL10, HSD11B1, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	SUMO1	0.016	enzyme	0	0	0	0	0	0.0146	CIDEC, CRYBB3, HP, SLC51B
ndr_vs_wt_all - 2020-11-20 05:39 PM	Traj18	0	other	0	-1.177	0	0.023	-1.223	0.0146	Ccl2, CD86, CXCL2, CXCL3
ndr_vs_wt_all - 2020-11-20 05:39 PM	RNA polymerase II	0	complex	0	0	0	0	0	0.015	ALPL, ATP6V0A1, CD14, CD83, FABP4, FOS, GADD45B, GHR, IGF1, IL1B, JUN, NOS2, OASL, PRLR, RALGDS, RARB, RORC, SOCS3, SPI1, TNNT1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CHADL	-0.009	other	0	1.134	0	-0.045	1.252	0.0151	Ccl2, FAS, IGFBP3, NCF1, PDGFA, SMPD3, STEAP4
ndr_vs_wt_all - 2020-11-20 05:39 PM	TANK	-0.002	other	0	1.134	0	-0.027	1.205	0.0151	Ccl7, CXCL2, CXCL3, MARCO, NFKBIZ, RGCC, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	TXNIP	0.04	other	0	0.085	0	-0.105	0.339	0.0151	Acot1, DES, DHCR7, FABP2, FASN, IL1B, PPARA
ndr_vs_wt_all - 2020-11-20 05:39 PM	ZFHX3	-0.004	transcription regulator	0	0	0	0	0	0.0154	F2RL1, GSTP1, HLA-A, LHX6, LRRC17, MIF, NGFR, PLA2G7, PROK2, RASL11B, RGS16, RGS2, SERPINA1, TUBB3
ndr_vs_wt_all - 2020-11-20 05:39 PM	SMYD1	0.018	transcription regulator	0	0	0	0	0	0.0157	BDH1, FAHD1, MIF, NAMPT, Nnt, PGD, PKM, PPARA, TKT, TPI1
ndr_vs_wt_all - 2020-11-20 05:39 PM	C5	-0.045	cytokine	0	0.478	0	-0.086	0.704	0.016	Ccl2, CCL3L3, CXCL2, FCGR1A, FCGR2A, IL1B, MPO, NGF
ndr_vs_wt_all - 2020-11-20 05:39 PM	GHR	-1.646	transmembrane receptor	0	-1.97	0	-0.032	-1.887	0.016	Ccl2, GHR, IGF1, IGFBP1, IGFBP2, IGFBP3, IL1B, PRLR
ndr_vs_wt_all - 2020-11-20 05:39 PM	ZEB2	-0.041	transcription regulator	0	-1.414	0	-0.081	-1.185	0.016	CCL3L3, CTSG, CX3CR1, ELANE, MPO, MS4A3, PRTN3, SELL
ndr_vs_wt_all - 2020-11-20 05:39 PM	PRMT1	0.049	enzyme	0	0.709	bias	0.258	0.081	0.0164	CIDEA, CPT1B, MBP, MGLL, PDK4, PPARA
ndr_vs_wt_all - 2020-11-20 05:39 PM	SIX5	-0.098	transcription regulator	0	1.706	0	0.236	1.137	0.0164	DMPK, FOXD4, FZD8, IGFBP5, KRT18, PLTP
ndr_vs_wt_all - 2020-11-20 05:39 PM	TNFAIP3	1.175	enzyme	0	-1.188	0	-0.184	-0.827	0.0164	Ccl2, ICAM1, IL1B, NFKBIA, NLRP3, TNFAIP3
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL6R	-0.456	transmembrane receptor	0	0.277	bias	0.258	-0.296	0.0167	HP, IL1B, IL6R, MMP2, SOCS3
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL18	-0.114	cytokine	Activated	3.078	0	0.124	2.696	0.0179	Ccl2, CCL20, CCL3L3, CXCL10, CXCL3, ICAM1, IL18R1, IL18RAP, IL1B, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAPK3	0.063	kinase	0	1.964	0	0.172	1.513	0.0182	CD86, EGR1, EGR2, FOS, JUNB, NR4A1, RGS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	TRAF2	-0.022	enzyme	Inhibited	-2.121	0	-0.186	-1.595	0.0186	ADM, CARMIL1, CCR1, EGFR, LILRB4, MPEG1, RHBDF1, Serpina3g (includes others), TK1
ndr_vs_wt_all - 2020-11-20 05:39 PM	YAP1	-0.011	transcription regulator	Activated	2.138	0	0.244	1.452	0.0186	ANKRD1, AREG, CAVIN2, CCN5, EGR1, FLNA, LMNA, NUPR1, SERPINE1
ndr_vs_wt_all - 2020-11-20 05:39 PM	DDIT3	0.085	transcription regulator	0	1.526	0	0.215	0.926	0.0187	ATF3, CASP4, CEBPD, IL1B, ITGAM, PPP1R15A, STAT5A, TRIB3
ndr_vs_wt_all - 2020-11-20 05:39 PM	CD14	2.864	transmembrane receptor	0	1.94	bias	0.258	1.439	0.0202	Ccl2, CCL3L3, CXCL2, IL1B, SELP, SOCS3
ndr_vs_wt_all - 2020-11-20 05:39 PM	KDM2B	-0.039	enzyme	0	-1.633	0	-0.122	-1.333	0.0202	Ccl2, Ccl7, CDKN2B, CX3CL1, CXCL10, LAMA5
ndr_vs_wt_all - 2020-11-20 05:39 PM	LPIN1	0.527	phosphatase	0	1.432	0	0.095	1.203	0.0202	FABP4, FASN, FDPS, HMGCR, IL1B, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	CARM1	0.009	transcription regulator	0	1.982	bias	0.258	1.471	0.0203	Ccl2, CXCL10, CXCL3, ICAM1
ndr_vs_wt_all - 2020-11-20 05:39 PM	Col17a1	-0.018	other	0	0	0	0	0	0.0203	ELANE, SERPINA1, WNT2, WNT5A
ndr_vs_wt_all - 2020-11-20 05:39 PM	DUSP14	0.203	phosphatase	0	-1	0	0	-1	0.0203	Ccl7, MARCO, NFKBIZ, PLAT
